GEO.id,GEO.id2,GEO.display-label,respop72018
0500000US05019,05019,"Clark County, Arkansas",22061
0500000US05021,05021,"Clay County, Arkansas",14847
0500000US05023,05023,"Cleburne County, Arkansas",24965
0500000US05025,05025,"Cleveland County, Arkansas",8018
0500000US05027,05027,"Columbia County, Arkansas",23537
0500000US05029,05029,"Conway County, Arkansas",20891
0500000US05031,05031,"Craighead County, Arkansas",108558
0500000US05033,05033,"Crawford County, Arkansas",63406
0500000US05035,05035,"Crittenden County, Arkansas",48342
0500000US05037,05037,"Cross County, Arkansas",16676
0500000US05039,05039,"Dallas County, Arkansas",7182
0500000US05041,05041,"Desha County, Arkansas",11512
0500000US05043,05043,"Drew County, Arkansas",18328
0500000US05045,05045,"Faulkner County, Arkansas",124806
0500000US05047,05047,"Franklin County, Arkansas",17810
0500000US05049,05049,"Fulton County, Arkansas",12269
0500000US05051,05051,"Garland County, Arkansas",99154
0500000US05053,05053,"Grant County, Arkansas",18188
0500000US05055,05055,"Greene County, Arkansas",45325
0500000US05057,05057,"Hempstead County, Arkansas",21741
0500000US05059,05059,"Hot Spring County, Arkansas",33701
0500000US05061,05061,"Howard County, Arkansas",13341
0500000US05063,05063,"Independence County, Arkansas",37678
0500000US05065,05065,"Izard County, Arkansas",13593
0500000US05067,05067,"Jackson County, Arkansas",16811
0500000US05069,05069,"Jefferson County, Arkansas",68114
0500000US05071,05071,"Johnson County, Arkansas",26742
0500000US05073,05073,"Lafayette County, Arkansas",6682
0500000US05075,05075,"Lawrence County, Arkansas",16434
0500000US05077,05077,"Lee County, Arkansas",8985
0500000US05079,05079,"Lincoln County, Arkansas",13383
0500000US05081,05081,"Little River County, Arkansas",12326
0500000US05083,05083,"Logan County, Arkansas",21737
0500000US05085,05085,"Lonoke County, Arkansas",73657
0500000US05087,05087,"Madison County, Arkansas",16481
0500000US05089,05089,"Marion County, Arkansas",16722
0500000US05091,05091,"Miller County, Arkansas",43592
0500000US05093,05093,"Mississippi County, Arkansas",41239
0500000US05095,05095,"Monroe County, Arkansas",6900
0500000US05097,05097,"Montgomery County, Arkansas",8924
0500000US05099,05099,"Nevada County, Arkansas",8326
0500000US05101,05101,"Newton County, Arkansas",7805
0500000US05103,05103,"Ouachita County, Arkansas",23606
0500000US05105,05105,"Perry County, Arkansas",10352
0500000US05107,05107,"Phillips County, Arkansas",18029
0500000US05109,05109,"Pike County, Arkansas",10673
0500000US05111,05111,"Poinsett County, Arkansas",23974
0500000US05113,05113,"Polk County, Arkansas",20049
0500000US05115,05115,"Pope County, Arkansas",64000
0500000US05117,05117,"Prairie County, Arkansas",8074
0500000US05119,05119,"Pulaski County, Arkansas",392680
0500000US05121,05121,"Randolph County, Arkansas",17948
0500000US05123,05123,"St. Francis County, Arkansas",25439
